operator,horizon,family,mean,ci95_low,ci95_high,n_queries
anchored,4,mean,0.014472815902950494,0.012124472884050856,0.016823076216782074,1726
anchored,4,softmax,0.014844482583122378,0.012440521009891504,0.017230537343161427,1726
anchored,4,equal_family,0.014658649243036436,0.01234590625667361,0.017084270198224515,1726
anchored,8,mean,0.004479063932843522,0.0036107323054970926,0.005365502781725321,1726
anchored,8,softmax,0.004538587489065296,0.003602724371143004,0.00545297803419962,1726
anchored,8,equal_family,0.004508825710954409,0.0036209876815843003,0.005408184736430498,1726
anchored,12,mean,0.002113453694150028,0.0016283620425558123,0.002606226524941045,1726
anchored,12,softmax,0.00205044636059554,0.0015519730886913528,0.002560389950707091,1726
anchored,12,equal_family,0.002081950027372784,0.0015909823303564452,0.0025675123057517786,1726
anchored,16,mean,0.0012270812813186859,0.0009247558108653379,0.0015343927602798856,1726
anchored,16,softmax,0.0011518603670476546,0.0008311529684598062,0.0014636989697672303,1726
anchored,16,equal_family,0.0011894708241831703,0.0008791308780722902,0.0014871632943064522,1726
anchored,24,mean,0.0005635958513485351,0.0004123557734558883,0.0007156089772904706,1726
anchored,24,softmax,0.0005108467558038141,0.0003476142925295622,0.000671065825014068,1726
anchored,24,equal_family,0.0005372213035761746,0.0003886200169868108,0.0006915032297483689,1726
anchored,32,mean,0.0003224264875428386,0.00023298226096519538,0.00041404892144092484,1726
anchored,32,softmax,0.00028684576715724575,0.0001915242930083223,0.0003842827207793402,1726
anchored,32,equal_family,0.0003046361273500422,0.0002146454258113221,0.0003966691485131667,1726
anchored,40,mean,0.00020848876214342278,0.0001460027603337352,0.00026822006603278303,1726
anchored,40,softmax,0.00018334221047456382,0.00012057390933291939,0.00024666206533713574,1726
anchored,40,equal_family,0.0001959154863089933,0.00013611139684994896,0.0002560691133499187,1726
anchored,50,mean,0.00013454817191602662,9.497798144976003e-05,0.00017423293720787738,1726
anchored,50,softmax,0.00011720013385618992,7.528271764021487e-05,0.00015953478998097215,1726
anchored,50,equal_family,0.00012587415288610828,8.552108378513887e-05,0.0001661457208324078,1726
recursive,4,mean,0.014393874191650573,0.010986834261411227,0.01782563390080376,1726
recursive,4,softmax,0.016446430949211176,0.012995477604010531,0.019912424418133536,1726
recursive,4,equal_family,0.015420152570430876,0.012021268721571512,0.01883388889715407,1726
recursive,8,mean,0.0019146791982953299,0.0001631104043588621,0.0036492602182174178,1726
recursive,8,softmax,0.0025466204612354135,0.0007861335337122165,0.004295203605919104,1726
recursive,8,equal_family,0.0022306498297653713,0.0005581839081768479,0.003934999431390765,1726
recursive,12,mean,-0.000437599687566647,-0.0015821006983511795,0.0006987265991897398,1726
recursive,12,softmax,-0.00031061042894445034,-0.0014607911049199567,0.0008466619270364933,1726
recursive,12,equal_family,-0.00037410505825554883,-0.0015400652426631484,0.0007955689471380006,1726
recursive,16,mean,-0.00100538690405644,-0.0018471617510863608,-0.00017304555898128856,1726
recursive,16,softmax,-0.001094065476546698,-0.0019650303118351866,-0.00024640171043238543,1726
recursive,16,equal_family,-0.001049726190301569,-0.001906627318517203,-0.00021862105160965842,1726
recursive,24,mean,-0.00122684351872658,-0.0017583585689490604,-0.0006920326174523852,1726
recursive,24,softmax,-0.001384208861405005,-0.001923009349050068,-0.0008354973796951731,1726
recursive,24,equal_family,-0.0013055261900657925,-0.0018382253540372001,-0.0007843243621540796,1726
recursive,32,mean,-0.0011729835992150225,-0.0015493537842365783,-0.0007918814220768272,1726
recursive,32,softmax,-0.0013157757507556113,-0.0017071587352844163,-0.000926192221356572,1726
recursive,32,equal_family,-0.0012443796749853167,-0.0016230603033445302,-0.0008721452333728714,1726
recursive,40,mean,-0.0010017847521276602,-0.0012949177493257334,-0.0007150920053728719,1726
recursive,40,softmax,-0.0011420918664498843,-0.0014371632946376498,-0.0008445139991949227,1726
recursive,40,equal_family,-0.0010719383092887725,-0.0013620750459178768,-0.0007879943432202583,1726
recursive,50,mean,-0.0008011445093076629,-0.001010919191169006,-0.000583201198725412,1726
recursive,50,softmax,-0.0009318208144785026,-0.0011580515603618875,-0.0007095199333974069,1726
recursive,50,equal_family,-0.0008664826618930828,-0.001082408427802298,-0.0006535441969693926,1726
