metric,contrast,mean,ci95_low,ci95_high,n_queries
ndcg10,recursive_minus_anchored_at_h8,-0.0022781758811890374,-0.003603873832252063,-0.000966239276424385,1726
ndcg10,recursive_minus_anchored_at_h24,-0.001842747493641967,-0.0023382991615722225,-0.0013524000797511234,1726
ndcg10,recursive_minus_anchored_at_h50,-0.0009923568147791912,-0.0012016094468125331,-0.0007866712851703002,1726
ndcg10,h24_minus_h8_recursive,-0.0035361760198311643,-0.0048963114082502595,-0.0021947175771069873,1726
ndcg10,h40_minus_h8_recursive,-0.0033025881390541436,-0.004877436275172282,-0.0017704713603172199,1726
ndcg10,h50_minus_h8_recursive,-0.0030971324916584547,-0.0046945303353856166,-0.0015177909917165136,1726
ndcg10,h50_minus_h24_recursive,0.0004390435281727097,9.73909974313692e-05,0.0007746824181013157,1726
ndcg10,h50_minus_h40_recursive,0.00020545564739568944,0.00012585382672389018,0.00028451246587085096,1726
ndcg10,h50_minus_h8_anchored,-0.004382951558068301,-0.00523115789985276,-0.003529227307771488,1726
ndcg10,operator_x_h50_difference_in_differences,0.0012858190664098467,0.0001436769299341456,0.00243033060566353,1726
mrr10,recursive_minus_anchored_at_h8,-0.004813480376378695,-0.006220633146013812,-0.0034099886309293882,1726
mrr10,recursive_minus_anchored_at_h24,-0.002513102329947637,-0.0030437992798630657,-0.001999027593296768,1726
mrr10,recursive_minus_anchored_at_h50,-0.0011783305219761498,-0.00139640111858913,-0.0009603525458449718,1726
mrr10,h24_minus_h8_recursive,-0.0005272299719721584,-0.001984508094372402,0.0009170081459180088,1726
mrr10,h40_minus_h8_recursive,0.00022800948022426814,-0.0014625688675188135,0.0018963288763778415,1726
mrr10,h50_minus_h8_recursive,0.0005639994373124297,-0.001172119740082905,0.0023224216016150814,1726
mrr10,h50_minus_h24_recursive,0.0010912294092845878,0.0007270043015915788,0.0014515953367161493,1726
mrr10,h50_minus_h40_recursive,0.0003359899570881612,0.00025066678541676426,0.00041894074741429573,1726
mrr10,h50_minus_h8_anchored,-0.003071150417090116,-0.004006037341264367,-0.0021335156428523064,1726
mrr10,operator_x_h50_difference_in_differences,0.0036351498544025447,0.0023980915706229714,0.004873017855039677,1726
recall10,recursive_minus_anchored_at_h8,0.0047706844663319165,0.002790856447952878,0.006786751038045577,1726
recall10,recursive_minus_anchored_at_h24,3.216270018123929e-05,-0.0007268762116721641,0.0008053493933282812,1726
recall10,recursive_minus_anchored_at_h50,-0.0004998124461479041,-0.0008311676434322726,-0.00016770699249260296,1726
recall10,h24_minus_h8_recursive,-0.012182320604430983,-0.014229469894202302,-0.010162735541021688,1726
recall10,h40_minus_h8_recursive,-0.013454664145166122,-0.01584981342488479,-0.011104719408483094,1726
recall10,h50_minus_h8_recursive,-0.013611468395555631,-0.016027652935310638,-0.011249288676255041,1726
recall10,h50_minus_h24_recursive,-0.0014291477911246488,-0.0019457128679419879,-0.0009205323227818164,1726
recall10,h50_minus_h40_recursive,-0.00015680425038950904,-0.0002739929572384631,-3.6267315481719216e-05,1726
recall10,h50_minus_h8_anchored,-0.00834097148307581,-0.0096336145557883,-0.0070496618368727955,1726
recall10,operator_x_h50_difference_in_differences,-0.00527049691247982,-0.007072835927209298,-0.003490473410809716,1726
