analysis_tier,metric,operator,horizon,estimand,mean,ci95_low,ci95_high,n_queries
full_policy,ndcg10,anchored,4,representation_H3abs,0.012341558547303972,0.010520045422113912,0.014241244148619053,1726
full_policy,ndcg10,anchored,4,search_H3abs,-0.0019114189613936641,-0.0032836848937705934,-0.0005384074418254536,1726
full_policy,ndcg10,anchored,4,representation_minus_search_H3abs,0.014252977508697634,0.012256018810201679,0.0163065526294895,1726
full_policy,ndcg10,anchored,8,representation_H3abs,0.003607524808014722,0.002937887760776378,0.004283087480554856,1726
full_policy,ndcg10,anchored,8,search_H3abs,-0.0010685254053757808,-0.001600183139956249,-0.0005505510153551611,1726
full_policy,ndcg10,anchored,8,representation_minus_search_H3abs,0.004676050213390503,0.0039589953644795,0.00540477494847803,1726
full_policy,ndcg10,recursive,4,representation_H3abs,0.01300745485211202,0.010200941005998974,0.015760193369530492,1726
full_policy,ndcg10,recursive,4,search_H3abs,-0.0035895247298014152,-0.005716156731417052,-0.0014822522876732915,1726
full_policy,ndcg10,recursive,4,representation_minus_search_H3abs,0.016596979581913435,0.01359799130672881,0.01957830080573623,1726
full_policy,ndcg10,recursive,8,representation_H3abs,0.0009093556588994708,-0.0004764883117250712,0.0022676029337648103,1726
full_policy,ndcg10,recursive,8,search_H3abs,-0.003964055591435363,-0.0051797893767648135,-0.0027683800692179608,1726
full_policy,ndcg10,recursive,8,representation_minus_search_H3abs,0.004873411250334833,0.003390772970254413,0.006352954032744441,1726
full_policy,mrr10,anchored,4,representation_H3abs,0.010164036386878197,0.00813302827616086,0.012144854515816978,1726
full_policy,mrr10,anchored,4,search_H3abs,-0.001376727672353412,-0.002855002273500625,6.235378480633177e-05,1726
full_policy,mrr10,anchored,4,representation_minus_search_H3abs,0.011540764059231608,0.009367912331810065,0.013768494242938405,1726
full_policy,mrr10,anchored,8,representation_H3abs,0.0027086078324490984,0.001990658454144309,0.0034364194906634214,1726
full_policy,mrr10,anchored,8,search_H3abs,-0.0008486013015995541,-0.0014169001737983392,-0.00029056472297255736,1726
full_policy,mrr10,anchored,8,representation_minus_search_H3abs,0.0035572091340486524,0.00276697551474855,0.004343794863013799,1726
full_policy,mrr10,recursive,4,representation_H3abs,0.008081602316828251,0.005075029060155414,0.011126053015881352,1726
full_policy,mrr10,recursive,4,search_H3abs,-0.0023420792304772765,-0.004643039268491923,-3.308033519687745e-05,1726
full_policy,mrr10,recursive,4,representation_minus_search_H3abs,0.010423681547305528,0.0071257298088482825,0.013698839848472304,1726
full_policy,mrr10,recursive,8,representation_H3abs,-0.00207774337481752,-0.0035977570905420544,-0.0005503877765926793,1726
full_policy,mrr10,recursive,8,search_H3abs,-0.003203176250865987,-0.004549278826726674,-0.0018921713805793606,1726
full_policy,mrr10,recursive,8,representation_minus_search_H3abs,0.0011254328760484677,-0.0004618354656828665,0.002739527050999573,1726
full_policy,recall10,anchored,4,representation_H3abs,0.02032780733171808,0.017333824923627908,0.023301075463499396,1726
full_policy,recall10,anchored,4,search_H3abs,-0.0022170941746550354,-0.004111159758067375,-0.0002887928385828401,1726
