nprobe_low,representation_gap_ndcg10,search_gap_ndcg10,absolute_gap_mismatch,relative_gap_mismatch,representation_jaccard_vs_high,search_jaccard_vs_high,absolute_jaccard_mismatch
2,0.1611140031278725,0.1649720924272112,0.0038580892993387017,0.023946331320913332,0.7116695535737855,0.6029952761320605,0.10867427744172498
4,0.1611140031278725,0.10135572374883155,0.05975827937904095,0.37090680027118544,0.7116695535737855,0.4834400977698427,0.22822945580394277
1,0.1611140031278725,0.2239902188992476,0.06287621577137512,0.3902591615296884,0.7116695535737855,0.7167150414114567,0.005045487837671225
6,0.1611140031278725,0.07494896792585244,0.08616503520202005,0.5348078598334673,0.7116695535737855,0.41068538640761865,0.3009841671661668
8,0.1611140031278725,0.05847081642788205,0.10264318669999045,0.6370842056386924,0.7116695535737855,0.3644860816001223,0.34718347197366317
12,0.1611140031278725,0.04105470344574285,0.12005929968212964,0.7451822768430707,0.7116695535737855,0.2960520274822843,0.41561752609150115
16,0.1611140031278725,0.0318280875605319,0.1292859155673406,0.8024498991855433,0.7116695535737855,0.24700621032296444,0.46466334325082104
24,0.1611140031278725,0.018551274874036842,0.14256272825383565,0.884856222836738,0.7116695535737855,0.1786370855699211,0.5330324680038644
32,0.1611140031278725,0.014844727877407898,0.1462692752504646,0.9078619636455437,0.7116695535737855,0.12818797214779282,0.5834815814259926
