operator,horizon,mechanism,epsilon,stable_null_fraction,amplifying_fraction,contracting_fraction
anchored,4,representation,0.002,0.4360515643105446,0.34900057937427575,0.2149478563151796
anchored,4,search_effort,0.002,0.6720741599073001,0.1519409038238702,0.17598493626882966
anchored,8,representation,0.002,0.4695104287369641,0.31517960602549244,0.21530996523754345
anchored,8,search_effort,0.002,0.6908314020857474,0.1332560834298957,0.1759125144843569
anchored,12,representation,0.002,0.5133256083429896,0.2902665121668598,0.19640787949015065
anchored,12,search_effort,0.002,0.7200898030127463,0.11927867902665122,0.16063151796060254
anchored,16,representation,0.002,0.5573580533024334,0.26470162224797217,0.17794032444959443
anchored,16,search_effort,0.002,0.746234067207416,0.10609791425260719,0.14766801853997683
anchored,24,representation,0.002,0.6399188876013905,0.21632387022016222,0.14375724217844726
anchored,24,search_effort,0.002,0.7941048667439166,0.0871234067207416,0.11877172653534183
anchored,32,representation,0.002,0.7715816917728853,0.13608053302433373,0.092337775202781
anchored,32,search_effort,0.002,0.8651506373117034,0.054533603707995364,0.08031575898030127
anchored,40,representation,0.002,0.8428447276940904,0.090454808806489,0.06670046349942063
anchored,40,search_effort,0.002,0.8971610660486674,0.042077056778679026,0.060761877172653536
anchored,50,representation,0.002,0.9108487833140209,0.04584298957126304,0.04330822711471611
anchored,50,search_effort,0.002,0.9354721900347625,0.02563731170336037,0.038890498261877175
recursive,4,representation,0.002,0.3046784472769409,0.37898319814600234,0.3163383545770568
recursive,4,search_effort,0.002,0.5296205098493627,0.22552143684820394,0.24485805330243338
recursive,8,representation,0.002,0.2694090382387022,0.31474507531865586,0.4158458864426419
recursive,8,search_effort,0.002,0.46502027809965235,0.22197276940903823,0.3130069524913094
recursive,12,representation,0.002,0.26484646581691773,0.27426129779837777,0.4608922363847045
recursive,12,search_effort,0.002,0.4559675550405562,0.20133256083429896,0.34269988412514485
recursive,16,representation,0.002,0.2663673232908459,0.2512311703360371,0.482401506373117
recursive,16,search_effort,0.002,0.4554606025492468,0.18764484356894554,0.35689455388180763
recursive,24,representation,0.002,0.28461761297798377,0.21530996523754345,0.5000724217844728
recursive,24,search_effort,0.002,0.4779837775202781,0.16599073001158748,0.3560254924681344
recursive,32,representation,0.002,0.33444380069524915,0.18692062572421783,0.47863557358053305
recursive,32,search_effort,0.002,0.5280272305909618,0.1449159907300116,0.32705677867902666
recursive,40,representation,0.002,0.3847045191193511,0.16396292004634994,0.45133256083429896
recursive,40,search_effort,0.002,0.5694524913093859,0.12862108922363846,0.3019264194669757
recursive,50,representation,0.002,0.459805909617613,0.13608053302433373,0.4041135573580533
recursive,50,search_effort,0.002,0.6271002317497103,0.10950173812282735,0.2633980301274623
