operator,estimand,mean,ci95_low,ci95_high,n_queries
anchored,representation_round50_minus_round8_abs_gap,-0.00048542326488731766,-0.0009133581405306577,-9.239690510557373e-05,1726
anchored,search_round50_minus_round8_abs_gap,-9.2038046956402e-05,-0.0005819852229433168,0.0003984628625997141,1726
anchored,paired_rep_minus_search_late_gap_growth,-0.00039338521793091567,-0.0008299560043434675,1.3617744240922849e-05,1726
recursive,representation_round50_minus_round8_abs_gap,-0.06757824547999453,-0.07480143676309933,-0.060578429382369084,1726
recursive,search_round50_minus_round8_abs_gap,-0.034976954749550704,-0.04093928303608842,-0.029196115327488798,1726
recursive,paired_rep_minus_search_late_gap_growth,-0.032601290730443815,-0.03909481663109574,-0.02629301087166041,1726
